2025-09-01 01:59:55.735 INFO  [N/A] [APP] [UNKNOWN] - 🧹 Iniciando limpeza automática de logs...
2025-09-01 01:59:55.738 ERROR [N/A] [APP] [UNKNOWN] - ❌ Erro durante limpeza de logs
java.nio.file.FileSystemException: .\logs\application.2025-08-31.2.log.gz: O arquivo já está sendo usado por outro processo
	at java.base/sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:92)
	at java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103)
	at java.base/sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108)
	at java.base/sun.nio.fs.WindowsFileSystemProvider.implDelete(WindowsFileSystemProvider.java:273)
	at java.base/sun.nio.fs.AbstractFileSystemProvider.delete(AbstractFileSystemProvider.java:104)
	at java.base/java.nio.file.Files.delete(Files.java:1152)
	at br.gov.se.setc.logging.LogCleanupService$3.visitFile(LogCleanupService.java:180)
	at br.gov.se.setc.logging.LogCleanupService$3.visitFile(LogCleanupService.java:176)
	at java.base/java.nio.file.Files.walkFileTree(Files.java:2786)
	at java.base/java.nio.file.Files.walkFileTree(Files.java:2857)
	at br.gov.se.setc.logging.LogCleanupService.removeEmptyFiles(LogCleanupService.java:176)
	at br.gov.se.setc.logging.LogCleanupService.performCleanup(LogCleanupService.java:77)
	at br.gov.se.setc.logging.LogCleanupService.scheduledCleanup(LogCleanupService.java:48)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
	at org.springframework.scheduling.support.ScheduledMethodRunnable.runInternal(ScheduledMethodRunnable.java:130)
	at org.springframework.scheduling.support.ScheduledMethodRunnable.lambda$run$2(ScheduledMethodRunnable.java:124)
	at io.micrometer.observation.Observation.observe(Observation.java:499)
	at org.springframework.scheduling.support.ScheduledMethodRunnable.run(ScheduledMethodRunnable.java:124)
	at org.springframework.scheduling.support.DelegatingErrorHandlingRunnable.run(DelegatingErrorHandlingRunnable.java:54)
	at org.springframework.scheduling.concurrent.ReschedulingRunnable.run(ReschedulingRunnable.java:96)
	at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:572)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:317)
	at java.base/java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:304)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642)
	at java.base/java.lang.Thread.run(Thread.java:1583)
2025-09-01 07:40:33.795 INFO  [N/A] [APP] [UNKNOWN] - Starting CorrecaoTiposFinaisTest using Java 21.0.7 with PID 364 (started by vinicius.alves in C:\Users\vinicius.alves\Documents\GitHub\se_ouve_api-desenvolvimento)
2025-09-01 07:40:33.796 INFO  [N/A] [APP] [UNKNOWN] - The following 1 profile is active: "dev"
2025-09-01 07:40:35.521 WARN  [N/A] [APP] [UNKNOWN] - Erro no SSE: Uma conexão estabelecida foi anulada pelo software no computador host
2025-09-01 07:40:35.521 WARN  [N/A] [APP] [UNKNOWN] - Erro ao enviar atualização SSE: ServletOutputStream failed to flush: java.io.IOException: Uma conexão estabelecida foi anulada pelo software no computador host
2025-09-01 07:40:35.521 WARN  [N/A] [APP] [UNKNOWN] - Erro ao enviar atualização SSE: ServletOutputStream failed to flush: java.io.IOException: Uma conexão estabelecida foi anulada pelo software no computador host
2025-09-01 07:40:35.521 WARN  [N/A] [APP] [UNKNOWN] - Erro no SSE: Uma conexão estabelecida foi anulada pelo software no computador host
2025-09-01 07:40:35.526 ERROR [N/A] [APP] [UNKNOWN] - Servlet.service() for servlet [dispatcherServlet] threw exception
java.io.IOException: Uma conexão estabelecida foi anulada pelo software no computador host
	at java.base/sun.nio.ch.SocketDispatcher.write0(Native Method)
	at java.base/sun.nio.ch.SocketDispatcher.write(SocketDispatcher.java:54)
